Название песни,Музыка,Слова,Текст песни
Азербайджан,Тофик Кулиев,Самед Вургун,"Я ходил по горам, я глядел меж лугов                               
В журавлиные очи родных родников;                                  
Издалека выслушивал шум тростников                                 
И ночного Аракса медлительный ход...                               
Здесь я дружбу узнал, и любовь, и почёт.                           

Можно ль душу из сердца украсть? — Никогда?                        
Ты — дыханье моё, ты — мой хлеб и вода!                            
Предо мной распахнулись твои города.                               
Весь я твой. Навсегда в сыновья тебе дан,                          
Азербайджан, Азербайджан!                                          

На горах твоих кудри белей молока,                                 
Как чадра, укрывают тебя облака,                                   
Над тобою без счета промчались века,                               
От невзгод поседела твоя голова...                                 
Как ты много терпела — и снова жива.                               

И невежды порочили имя твоё,                                       
И безумцы пророчили горе твоё,                                     
И надежды измучили сердце твоё,                                    
Но пришла благородная слава твоя,                                  
Велики твои дочери и сыновья!                                      

Пусть Баку мой неведомый гость навестит:                           
Миллионами солнц его ночь поразит.                                 
Если северный ветер на вышках гудит,                               
Откликается эхом песчаный простор,                                 
Полуночные горы ведут разговор...                                  

Можно ль мать у ребенка украсть? — Никогда!                        
Ты — дыханье моё, ты — мой хлеб и вода!                            
Предо мной распахнулись твои города.                               
Весь я твой. Навсегда в сыновья тебе дан,                          
Азербайджан, Азербайджан!                                          

На серебряном Каспии Ветры свистят,                                
Изумрудные перышки уток блестят...                                 
Пусть влюбленные путники нас навестят,                             
В Шемахе и в Шамхоре пусть выпьют вина!                            
Ах, как жизнь коротка, как дорога длинна!                          

Любоваться хотел бы я тысячу лет,                                  
Как играет в ущельях рассеянный свет...                            
Пробегает олень, оленёнок вослед,                                  
И зовет, и под камнем находит приют,                               
А быки на эйлагах молчат и жуют...                                 

Рано утром, поэт-путешественник, встань!                           
Пред тобой Астара, пред тобой Ленкорань.                           
Из Египта, из Индии в раннюю рань                                  
К нам слетаются птицы, ликуя, крича,                               
Словно вышли на волю из рук палача!                                

Здесь желтеют лимоны колхозных садов,                              
Нагибаются ветви под грузом плодов,                                
И тому, кто работал, здесь отдых готов.                            
Золотого чайку завари и налей,                                     
О невеста, для матушки старой моей.                                

В Ленкорани цветы и свежи, и стройны,                              
И прекрасны, как женщины нашей страны.                             
И амбары колхозные хлебом полны,                                   
Белый хлопок сияет, как снег на горах,                             
Сок лозы виноградной кипит в погребах.                             

Выпей утром, когда еще море темно,                                 
Этот сок, ещё не превращенный в вино,                              
Будет силою всё твоё тело полно!                                   
Сила солнца — наш верный союзник в борьбе,                         
И в работе она да поможет тебе!                                    

Сядь в Казахе на красного с искрой коня,                           
Приласкай его, добрую дружбу храня!                                
Он тебя понесет мимо шумного дня                                   
На вершины Кяпаза, где холод остер,                                
Погляди на Гейгель, королеву озер!                                 

О страна моя, родина музыки — ты!                                  
Твои песни, как летом плоды, налиты!                               
Ты — серебряная колыбель красоты!                                  
Сгустки музыки — тысячи наших сердец,                              
В каждом малом селе есть любимый певец.                            

Не умрет Низами, не умрет Физули —                                 
Дорогие поэты старинной земли,                                     
Как туманные звёзды, мерцают вдали...                              
Но родится здесь много таких, как они,                             
Это — близкие, это — земные огни!                                  

Можно ль песню из горла украсть? — Никогда!                        
Ты — дыханье моё, ты — мой хлеб и вода!                            
Предо мной распахнулись твои города...                             
Весь я твой. Навсегда в сыновья тебе дан, Азербайджан,Азербайджан!"
Азербайджанская песня о Москве,М. Табачников,М. Светлов,"О тебе, Москва, все мои слова,                  
О тебе сновидения мои.                          
Над Москвой горят золотистый закат              
И серебряный луч восходящей луныАй Азербайджан, ай Азербайджан,                 
Все мои слова для тебя, Москва.                 

Всех республик узор, как цветной ковер          
О, Москва, окружает тебя.                       
Жизнь моя – жизнь твоя, кровь моя – кровь твоя.
Все тебе отдаю, Москва, любяТанков бешеный ход, эскадрилий взлет.           
Сотни сил набирает бензин.                      
Кто ж их всех напоил, не щадя своих сил.        
Это я, Москва, бакинец, твой сынАй, хороший город Москва."
Азовская партизанская,В. Соловьев-Седой,А. Зорин,"Нас было только семеро и больше-ни души,           
Мы пробирались плавнями, шумели камышиПартизаны, не забудем никогда                      
Азовское море, военные года!                       

Сожгла поля родимые военная гроза                  
И нас встречали детские суровые глазаСвоих детей покинули, нескоро встретим их          
Руками неумелыми баюкали чужихЗа день счастливый завтрашний солдаты в бой идут  
А дети наши вырастут - про нас с тобой споют."
Ай да парень,Э. Рознер,В. Певзнер/М. Гуревич,"По Союзу в разные края                         
Едут после вуза Костины друзья.                

Только Костя выпуску не рад:                   
Ни за что не хочет бросить город Ленинград.    

От путевки на Восток                           
парень сразу занемог.                          
Нашли, что в сердце у него порок,              
Хотя плясать он может и поднять три пуда тоже.

Не уехал на Дальстрой,                         
Был пристроен медсестрой.                      
Больным примочки ставит весь день он.          
Этот горе-паренек.                             

По проспекту, словно манекен,                  
Вечером эффектный бродит джентльмен.           
Все отдаст вам лодырь и барчук                 
За цветастый стильный галстук и за каучук.     

Этот парень-паренек                            
Из-за моды сбился с ног.                       
Такого нет, чтоб сделать он не смог.           
Ресницы красит может                           
И завивку сделать тоже.                        

Ай да парень-паренек!                          
Накрутил он датский кок                        
И разобраться я, друзья, не смог:              
Дама он иль паренек.                           

На дорогах, в поле, у станков                  
Настоящих много наших пареньков.               
Новоселом едет на восток,                      
Будет завтра строить школы парень-паренек.     

Не утратил паренек                             
комсомольский огонек,                          
Такого нет, чтоб он не смог.                   
Он дом построить сможет,                       
И семью построить тоже.                        

Знаем мы наверняка:                            
Ждут успехи паренька.                          
За то, что легких не искал дорог               
Настоящий паренек!"
Аккуратный почтальон,бр. Покрасс,Б. Ласкин,"Еду, еду, еду, еду,          
Еду, письма раздаю.          
Не сходя с велосипеда,       
Я с улыбкой всем поюНе скучайте, получайте,      
Кто заждался, кто влюблен.   
Письма нежные, родные,       
Деловые, заказные            
Всем вручает Харитоша,       
Аккуратный почтальон.        

Я везу любовь и радость,     
И дыхание весны,             
Из Москвы, и Ленинграда,     
И со всех концов страны.     

Есть конверты разной масти.  
И газетные листы.            
В этой сумке смех и счастье,  
И надежды и мечтыЕду, еду, еду, еду,          
Еду, письма раздаю.          
Не сходя с велосипеда,       
Я с улыбкой всем пою"
Акула,Исаак Дунаевский.,Самуил Маршак.,"На Дальнем Востоке акула        
Охотой была занята.             
Злодейка акула дерзнула         
Напасть на соседа кита.         

А-ах, а-ах!                     
Напасть на соседа кита!         

Сожру половину кита я,
И буду, наверно, сыта я
Денек или два, а затем
И все остальное доем!

А-ах, а-ах!                     
И всё остальное доем!
Подумав об этом, акула          
Зубастый разинула рот,          
Заранее брюхо раздула           
И ринулась дерзко вперед!       

А-ах, а-ах!                     
И ринулась дерзко вперед!       

Но слопать живьём, как селёдку,
Акула кита не могла,            
Не лезет в акулью он глотку,    
Для этого глотка мала!          

А-ах, а-ах!                     
Для этого глотка мала!          

Китом подавилась акула          
И, лопнув по швам, утонула!     

А-ах, а-ах!                     
И, лопнув по швам, утонула!"
ВОЛОГДА,Песняры,Песняры,"Письма, письма лично на почту ношу
Словно я роман с продолженьем пишу
Знаю, знаю точно, где мой адресат
В доме, где резной палисад

Где же моя темноглазая где
В Вологде-где-где-где
В Вологде-где
В доме где резной палисад
Где же моя темноглазая где
В Вологде-где-где-где
В Вологде-где
В доме где резной палисад

Шлю, я шлю я ей за пакетом пакет
Только, только нет мне ни слова в ответ
Значит, значит надо иметь ей в виду
Сам я за ответом приду

Что б ни случилось я к милой приду
В Вологду-гду-гду-гду
В Вологду-гду
Сам я за ответом приду
Что б ни случилось я к милой приду
В Вологду-гду-гду-гду
В Вологду-гду
Сам я за ответом приду

Вижу, вижу алые кисти рябин
Вижу, вижу дом ее номер один
Вижу, вижу сад со скамьей у ворот
Город, где судьба меня ждет

Вот потому-то мила мне всегда
Вологда-гда-гда-гда
Вологда-гда
Город где судьба меня ждет
Вот потому-то мила мне всегда
Вологда-гда-гда-гда
Вологда-гда
Город где судьба меня ждет

Вот потому-то мила мне всегда
Вологда-гда-гда-гда
Вологда-гда
Город где судьба меня ждет
Вот потому-то мила мне всегда
Вологда-гда-гда-гда
Вологда-гда
Город где судьба меня ждет
Город где судьба меня ждет"
ДОРОГОЙ ДЛИННОЮ,Песняры,Песняры,"Ехали на тройке с бубенцами,
А вдали мелькали огоньки.
Эх, когда бы мне теперь за Вами,
Душу бы развеять от тоски.
Да, выходит пели мы задаром,
Понапрасну ночь за ночью жгли.
Если мы покончили со старым,
Так и ночи эти отошли.

Дорогой длинною, да ночкой лунною,
Да с песней той, что вдаль летит звеня,
Да с той старинною, да семиструнною,
Что по ночам, так мучила меня.
Дорогой длинною, да ночкой лунною,
Да с песней той, что вдаль летит звеня,
Да с той старинною, да семиструнною,
Что по ночам, так мучила меня

Вдаль родную новыми путями,
Нам отныне ехать суждено.
Ехали на тройке с бубенцами
Да теперь проехали давно.
Ехали на тройке с бубенцами,
А вдали мелькали огоньки.
Эх, когда бы мне теперь за Вами,
Душу бы развеять от тоски.

"
Алеша,Эдуард Колмановский,Константин Ваншенкин,"Белеет ли в поле пороша, пороша, пороша,                  
Белеет ли в поле пороша,иль гулкие ливни шумят            
Стоит над горою Алеша,Алеша, Алеша,                       
Стоит над горою Алеша - в Болгарии русский солдат         
И сердцу по-прежнему горько, по-прежнему горько           
И сердцу по-прежнему горько, что после свинцовой пурги    
Из камня его гимнастерка, его гимнастерка                 
Из камня его гимнастерка, из камня его сапоги             

Немало под страшною ношей, под страшною ношей             
Немало под страшною ношей, легло безымянных парней        
Но то, что вот этот - Алеша, Алеша, Алеша                 
Но то, что вот этот - Алеша, известно Болгарии всей.      

К долинам, покоем объятым, покоем объятым                 
К долинам покоем объятым ему не сойти с высоты            
Цветов он не дарит девчатам, девчатам, девчатам,          
Цветов он не дарит девчатам - они ему дарят цветы         

Привычный, как солнце и ветер, как солнце и ветер         
Привычный, как солнце и ветер, как в небе вечернем звезда
Стоит он над городом этим, над городом этим               
Стоит он над городом этим - вот так и стоял он всегда.    

Белеет ли в поле пороша, пороша, пороша,                  
Белеет ли в поле пороша ,иль гулкие ливни шумят           
Стоит над горою Алеша, Алеша, Алеша,                      
Стоит над горою Алеша - в Болгарии русский солдат.        
В Болгарии русский солдат.                                
В Болгарии русский солдат."
Алтай золотой,Серафим Туликов,Цезарь Солодарь,"Степные просторы, зелёные горы,             
Крутые изгибы стремительных рек...          
Орлиные стаи и дали без края -              
Алтай золотой, ты вошёл в моё сердце навек!

Багряные зори, пшеничное море,              
Страды урожайной могучий разбег.            
Друзья трудовые, сердца огневые -           
Алтай золотой, ты вошёл в моё сердце навек!

Кто был на Алтае, тот помнит и знает:       
Работою славится там человек.               
И мирную песню споёт с нами вместе          
Алтай золотой, ты вошёл в моё сердце навек!"
Американцы где ваш президент,Э. Колмановский,Е. Евтушенко,"Колокола в Америке рыдали           
И птицы замедляли свой полёт        
А статуя Свободы вся седая          
Печально по Америке бредёт.         

Она бредёт средь сумрака ночного,   
Покинув свой постылый постамент     
И спрашивает горько и сурово:       
Американцы, где ваш президент?      

Ответьте, величавые ............    
Ответьте, небоскрёбов этажи         
Как ты могла, Америка, такое...     
Как ты могла, Америка, скажи ?!     

Опять на пикники спешат машины,     
Опять Бродвей огнями разодет.       
Но вы ответьте прямо, как мужчины:  
Американцы, где ваш президент?      

Ты подними свой факел к небосводу,  
Заговори как женщина и мать,        
Простреленная статуя Свободы,       
И прокляни свободу убивать!         

Американцы, что же с вами будет?    
Задумайтесь хотя бы на момент!      
Пусть ваша совесть вас ночами будит
Американцы, где ваш президент?"
